Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,149,0,Some Random Commen with Id 0
1,0,2,145,9,Some Random Commen with Id 1
2,0,2,46,2,Some Random Commen with Id 2
3,0,2,14,2,Some Random Commen with Id 3
4,1,7,43,8,Some Random Commen with Id 4
5,1,7,35,0,Some Random Commen with Id 5
6,1,7,182,8,Some Random Commen with Id 6
7,1,7,143,9,Some Random Commen with Id 7
8,1,7,10,4,Some Random Commen with Id 8
9,2,1,156,1,Some Random Commen with Id 9
10,2,1,111,6,Some Random Commen with Id 10
11,2,1,186,7,Some Random Commen with Id 11
12,2,1,87,9,Some Random Commen with Id 12
13,2,1,155,0,Some Random Commen with Id 13
14,2,1,172,3,Some Random Commen with Id 14
15,2,1,125,4,Some Random Commen with Id 15
16,2,1,77,1,Some Random Commen with Id 16
17,3,1,0,5,Some Random Commen with Id 17
18,3,1,35,6,Some Random Commen with Id 18
19,3,1,25,2,Some Random Commen with Id 19
20,3,1,103,4,Some Random Commen with Id 20
21,3,1,22,7,Some Random Commen with Id 21
22,3,1,177,5,Some Random Commen with Id 22
23,3,1,10,0,Some Random Commen with Id 23
24,3,1,53,2,Some Random Commen with Id 24
25,4,6,20,3,Some Random Commen with Id 25
26,4,6,51,2,Some Random Commen with Id 26
27,4,6,2,6,Some Random Commen with Id 27
28,4,6,104,6,Some Random Commen with Id 28
29,4,6,20,9,Some Random Commen with Id 29
30,4,6,32,1,Some Random Commen with Id 30
31,4,6,165,5,Some Random Commen with Id 31
32,4,6,101,9,Some Random Commen with Id 32
33,4,6,20,0,Some Random Commen with Id 33
34,5,8,187,5,Some Random Commen with Id 34
35,5,8,101,7,Some Random Commen with Id 35
36,5,8,53,3,Some Random Commen with Id 36
37,5,8,26,2,Some Random Commen with Id 37
38,5,8,13,5,Some Random Commen with Id 38
39,5,8,85,9,Some Random Commen with Id 39
40,5,8,184,6,Some Random Commen with Id 40
41,5,8,114,3,Some Random Commen with Id 41
42,6,3,62,3,Some Random Commen with Id 42
43,6,3,163,9,Some Random Commen with Id 43
44,6,3,195,1,Some Random Commen with Id 44
45,6,3,180,7,Some Random Commen with Id 45
46,6,3,159,8,Some Random Commen with Id 46
47,8,9,181,5,Some Random Commen with Id 47
48,8,9,118,0,Some Random Commen with Id 48
49,8,9,27,0,Some Random Commen with Id 49
50,8,9,164,6,Some Random Commen with Id 50
51,8,9,121,2,Some Random Commen with Id 51
52,8,9,158,6,Some Random Commen with Id 52
53,8,9,178,7,Some Random Commen with Id 53
54,8,9,199,3,Some Random Commen with Id 54
55,9,1,168,6,Some Random Commen with Id 55
56,9,1,77,6,Some Random Commen with Id 56
57,10,0,137,8,Some Random Commen with Id 57
58,10,0,20,2,Some Random Commen with Id 58
59,10,0,93,9,Some Random Commen with Id 59
60,10,0,151,4,Some Random Commen with Id 60
61,10,0,17,1,Some Random Commen with Id 61
62,10,0,158,0,Some Random Commen with Id 62
63,10,0,6,9,Some Random Commen with Id 63
64,10,0,131,0,Some Random Commen with Id 64
65,10,0,52,0,Some Random Commen with Id 65
66,11,3,110,0,Some Random Commen with Id 66
67,12,6,61,8,Some Random Commen with Id 67
68,12,6,155,2,Some Random Commen with Id 68
69,12,6,53,1,Some Random Commen with Id 69
70,12,6,125,3,Some Random Commen with Id 70
71,12,6,80,4,Some Random Commen with Id 71
72,12,6,62,5,Some Random Commen with Id 72
73,12,6,133,7,Some Random Commen with Id 73
74,12,6,71,8,Some Random Commen with Id 74
75,12,6,133,1,Some Random Commen with Id 75
76,13,7,10,6,Some Random Commen with Id 76
